n_qubits,depth,entanglement_topology,cost_type,encoding_type,param_index,layer_id,param_grad_variance_across_seeds,log10_param_grad_variance
4,4,linear,local,angle,14,1,0.00021516312323299468,-3.6672321602769244
4,4,linear,local,angle,15,1,0.00020974289257680336,-3.6783127469091452
4,4,linear,local,angle,16,1,0.00014083907302042003,-3.8512768420471906
4,4,linear,local,angle,17,1,0.00019631316822406065,-3.7070505679739267
4,4,linear,local,angle,18,1,0.00025432015899401895,-3.5946192135841475
4,4,linear,local,angle,19,1,0.000264714984057086,-3.577221474984527
4,4,linear,local,angle,20,1,0.00022681851215162018,-3.6443215027015277
4,4,linear,local,angle,21,1,0.00019745266046271103,-3.704537010235917
4,4,linear,local,angle,22,1,0.00020250920304082324,-3.693555235466464
4,4,linear,local,angle,23,1,0.0002981031820533674,-3.525633388137638
4,4,linear,local,angle,24,2,0.00017442448505710604,-3.7583925504883484
4,4,linear,local,angle,25,2,0.0001815491980132012,-3.7410056652264982
4,4,linear,local,angle,26,2,0.00010850071747572419,-3.964567389974736
4,4,linear,local,angle,27,2,0.0003391256681711795,-3.4696393375494914
4,4,linear,local,angle,28,2,0.00019211306615852332,-3.716443096525238
4,4,linear,local,angle,29,2,0.00018214688276817857,-3.7395782568028677
4,4,linear,local,angle,30,2,9.405320010603689e-05,-4.026626423242261
4,4,linear,local,angle,31,2,8.384137435069458e-05,-4.076541611228302
4,4,linear,local,angle,32,2,0.00013117469516251998,-3.8821499363874032
4,4,linear,local,angle,33,2,0.0002372297254291915,-3.6248308938025655
4,4,linear,local,angle,34,2,0.0003170244753322103,-3.4989072075254826
4,4,linear,local,angle,35,2,0.00016712695863101541,-3.7769534900207136
4,4,linear,local,angle,36,3,0.0002032147842369302,-3.6920446995428766
4,4,linear,local,angle,37,3,0.00021653825168522155,-3.6644653740061246
4,4,linear,local,angle,38,3,0.00019819812569145926,-3.702900456842194
4,4,linear,local,angle,39,3,0.00023075570458276558,-3.636847553841841
4,4,linear,local,angle,40,3,0.00024767416839047363,-3.606119286552974
4,4,linear,local,angle,41,3,0.00035878958215517415,-3.4451601756563908
4,4,linear,local,angle,42,3,0.0002151340950778138,-3.6672907559038426
4,4,linear,local,angle,43,3,0.0003403743334280976,-3.4680431961515237
4,4,linear,local,angle,44,3,0.000215181037042314,-3.6671960037805205
4,4,linear,local,angle,45,3,0.000282893028237896,-3.5483777553889615
4,4,linear,local,angle,46,3,0.00026164828801196515,-3.5822821025424663
4,4,linear,local,angle,47,3,0.000192603542148099,-3.7153357300815375
4,4,linear,global,angle,0,0,4.049288176308957e-05,-4.392621314630134
4,4,linear,global,angle,1,0,4.632914799946729e-05,-4.3341456864692445
4,4,linear,global,angle,2,0,6.056559265409157e-05,-4.217774028708335
4,4,linear,global,angle,3,0,5.5721769502377526e-05,-4.253975100558984
4,4,linear,global,angle,4,0,8.097771557457793e-05,-4.0916344790784605
4,4,linear,global,angle,5,0,5.669229180118249e-05,-4.246475986182625
4,4,linear,global,angle,6,0,4.701427193429038e-05,-4.327770285012614
4,4,linear,global,angle,7,0,5.688437695988771e-05,-4.245006994268567
4,4,linear,global,angle,8,0,3.6743517470412044e-05,-4.434819270869945
4,4,linear,global,angle,9,0,6.0018768088547884e-05,-4.221712922903777
4,4,linear,global,angle,10,0,4.0603348688898865e-05,-4.391438147281485
4,4,linear,global,angle,11,0,5.279816000510403e-05,-4.27738121219259
4,4,linear,global,angle,12,1,5.532863325502887e-05,-4.2570500577296455
4,4,linear,global,angle,13,1,4.753631558444757e-05,-4.322974482333385
4,4,linear,global,angle,14,1,5.379078080824867e-05,-4.269292151604887
4,4,linear,global,angle,15,1,5.243572314420084e-05,-4.280372738237108
4,4,linear,global,angle,16,1,3.520976825510501e-05,-4.453336833375153
4,4,linear,global,angle,17,1,4.907829205601516e-05,-4.309110559301889
4,4,linear,global,angle,18,1,6.358003974850474e-05,-4.19667920491211
4,4,linear,global,angle,19,1,6.61787460142715e-05,-4.1792814663124895
4,4,linear,global,angle,20,1,5.6704628037905045e-05,-4.24638149402949
4,4,linear,global,angle,21,1,4.936316511567776e-05,-4.30659700156388
4,4,linear,global,angle,22,1,5.062730076020581e-05,-4.2956152267944265
4,4,linear,global,angle,23,1,7.452579551334185e-05,-4.1276933794656
4,4,linear,global,angle,24,2,4.360612126427651e-05,-4.3604525418163105
4,4,linear,global,angle,25,2,4.53872995033003e-05,-4.343065656554461
4,4,linear,global,angle,26,2,2.7125179368931046e-05,-4.566627381302698
4,4,linear,global,angle,27,2,8.478141704279487e-05,-4.071699328877454
4,4,linear,global,angle,28,2,4.802826653963083e-05,-4.3185030878532
4,4,linear,global,angle,29,2,4.553672069204464e-05,-4.34163824813083
4,4,linear,global,angle,30,2,2.351330002650922e-05,-4.628686414570223
4,4,linear,global,angle,31,2,2.0960343587673645e-05,-4.678601602556265
