benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,9,4,0.011892753412622989,0.0005973049478365006,0.1502024596820515,0.07531753488015432,1.77560479754145e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,9,5,0.014757530126943561,0.0010611317992918247,0.20404300506731338,0.09586906071359265,6.776263578034403e-21,0.75
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,9,6,0.009249432318195392,0.0008322023344140294,0.17361964347621225,0.12574092828207714,1.439468463829803e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,9,7,0.0020331160244335925,8.318905112559957e-05,0.05606794118030994,0.05184513185260119,6.9060245422366e-19,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,10,0,0.01839509552489695,0.001068337148777319,0.2057810063848788,0.11913388880756538,3.593561469984508e-18,0.3333333333333333
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,10,1,0.022080995321406144,0.0017737276463862398,0.2608134497440144,0.15922184242184712,2.766092008616965e-18,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,10,2,0.014047358307935964,0.0005835163154438551,0.1507291234397081,0.06500395222795191,4.757552533562292e-19,0.5
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,10,3,0.01527884970717343,0.0010403903450039549,0.19361852575491126,0.12700023493859358,6.062429221141981e-19,0.5833333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,10,4,0.015463397201020083,0.0013808493984768726,0.22297753809747178,0.1502678500583568,1.9358868212222843e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,10,5,0.012045816457500589,0.0007629399906416537,0.16579252463634472,0.09334327260100998,1.0842021724855044e-19,0.75
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,10,6,0.005234742256128772,0.0003456278738074075,0.11553746275224616,0.08466659531034587,1.0842021724855044e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,10,7,0.0014219995338933717,5.094267124482416e-05,0.04318260910410132,0.04224573869571208,8.131516293641283e-19,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,11,0,0.011782110975627322,0.0006696249604733824,0.1653781815371114,0.12429279119048339,1.0130514049161432e-18,0.3333333333333333
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,11,1,0.011504435913930598,0.00040770430259535676,0.12191113870334075,0.05263678139161703,6.805909731188303e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,11,2,0.007504811307649424,0.00023054010671479927,0.09183096615925464,0.05732728653817387,1.0513796457794003e-19,0.5
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,11,3,0.007303212562737971,0.00030836186260317487,0.10791201587688574,0.0900964936277964,6.151799774496013e-19,0.5833333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,11,4,0.011959651930601512,0.00075517533850903,0.16509110116721637,0.08391424375852413,3.392366953753473e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,11,5,0.006864918603496873,0.0003650701747771364,0.11583785263372429,0.08728620360351443,3.4057864598597304e-19,0.75
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,11,6,0.004180682330378407,0.00018706600467097135,0.08231585349998116,0.05040167524773018,2.1556988507621944e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,11,7,0.004690913754895144,0.0005073591452474832,0.13601680232663493,0.13048828334176515,1.904130065427667e-18,0.9444444444444444
