benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,grad_value,abs_grad,is_near_zero
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,3,RY,1,10,layer_000_wire_003_RY,0.0002775846208943334,0.0002775846208943334,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,3,RZ,2,11,layer_000_wire_003_RZ,9.12431750435585e-18,9.12431750435585e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,0,RX,0,0,layer_000_wire_000_RX,-0.010298729745270107,0.010298729745270107,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,0,RY,1,1,layer_000_wire_000_RY,0.07086899542715108,0.07086899542715108,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,0,RZ,2,2,layer_000_wire_000_RZ,1.8720152371139703e-17,1.8720152371139703e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,1,RX,0,3,layer_000_wire_001_RX,-0.0012958872187288127,0.0012958872187288127,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,1,RY,1,4,layer_000_wire_001_RY,0.02961221780961719,0.02961221780961719,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,1,RZ,2,5,layer_000_wire_001_RZ,7.775392555878307e-18,7.775392555878307e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,2,RX,0,6,layer_000_wire_002_RX,-0.0036846122887657213,0.0036846122887657213,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,2,RY,1,7,layer_000_wire_002_RY,-0.0359002730973829,0.0359002730973829,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,2,RZ,2,8,layer_000_wire_002_RZ,1.78219124999848e-17,1.78219124999848e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,3,RX,0,9,layer_000_wire_003_RX,0.0016712755125361473,0.0016712755125361473,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,3,RY,1,10,layer_000_wire_003_RY,0.008806042009027931,0.008806042009027931,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,3,RZ,2,11,layer_000_wire_003_RZ,6.386390007424288e-19,6.386390007424288e-19,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,0,RX,0,0,layer_000_wire_000_RX,-0.0037855947850611747,0.0037855947850611747,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,0,RY,1,1,layer_000_wire_000_RY,0.016365552451568822,0.016365552451568822,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,0,RZ,2,2,layer_000_wire_000_RZ,-9.525303958234441e-18,9.525303958234441e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,1,RX,0,3,layer_000_wire_001_RX,0.017265570371036924,0.017265570371036924,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,1,RY,1,4,layer_000_wire_001_RY,0.12617295534062895,0.12617295534062895,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,1,RZ,2,5,layer_000_wire_001_RZ,9.492439656413974e-18,9.492439656413974e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,2,RX,0,6,layer_000_wire_002_RX,-0.06330137373437243,0.06330137373437243,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,2,RY,1,7,layer_000_wire_002_RY,-0.021573708590698973,0.021573708590698973,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,2,RZ,2,8,layer_000_wire_002_RZ,5.4129040704763035e-18,5.4129040704763035e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,3,RX,0,9,layer_000_wire_003_RX,-6.832151459789174e-06,6.832151459789174e-06,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,3,RY,1,10,layer_000_wire_003_RY,0.0017692903954872677,0.0017692903954872677,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,0,3,RZ,2,11,layer_000_wire_003_RZ,3.8106511895261167e-19,3.8106511895261167e-19,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,0,RX,0,0,layer_000_wire_000_RX,-0.0780107178613119,0.0780107178613119,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,0,RY,1,1,layer_000_wire_000_RY,-0.01813168588687588,0.01813168588687588,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,0,RZ,2,2,layer_000_wire_000_RZ,-2.814633365172379e-17,2.814633365172379e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,1,RX,0,3,layer_000_wire_001_RX,0.02376854318822836,0.02376854318822836,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,1,RY,1,4,layer_000_wire_001_RY,0.026535962571434007,0.026535962571434007,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,1,RZ,2,5,layer_000_wire_001_RZ,-2.8871159485473738e-18,2.8871159485473738e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,2,RX,0,6,layer_000_wire_002_RX,0.0796842362461001,0.0796842362461001,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,2,RY,1,7,layer_000_wire_002_RY,0.011832502330322722,0.011832502330322722,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,2,RZ,2,8,layer_000_wire_002_RZ,-3.31643815510751e-17,3.31643815510751e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,3,RX,0,9,layer_000_wire_003_RX,0.04782841727625799,0.04782841727625799,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,3,RY,1,10,layer_000_wire_003_RY,0.012971239653139408,0.012971239653139408,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,0,3,RZ,2,11,layer_000_wire_003_RZ,3.228463174224084e-17,3.228463174224084e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,0,RX,0,0,layer_000_wire_000_RX,2.0816681711721685e-17,2.0816681711721685e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,0,RY,1,1,layer_000_wire_000_RY,2.7755575615628914e-17,2.7755575615628914e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,0,RZ,2,2,layer_000_wire_000_RZ,3.6762008432097086e-17,3.6762008432097086e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,1,RX,0,3,layer_000_wire_001_RX,-0.014811412332380591,0.014811412332380591,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,1,RY,1,4,layer_000_wire_001_RY,0.33845442853024077,0.33845442853024077,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,1,RZ,2,5,layer_000_wire_001_RZ,-3.738696906825374e-17,3.738696906825374e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,2,RX,0,6,layer_000_wire_002_RX,-2.0816681711721685e-17,2.0816681711721685e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,2,RY,1,7,layer_000_wire_002_RY,2.7755575615628914e-17,2.7755575615628914e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,2,RZ,2,8,layer_000_wire_002_RZ,1.9199273258534745e-17,1.9199273258534745e-17,True
