benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,0.1953716167507774,0.08156755604339487,0.19537161675077738,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,0.03725650452460318,0.1229450987379809,0.2731195013104996,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,2.2401789450062176e-18,1.7551776751281177e-36,2.2401789450062176e-18,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,0.023226389184968194,0.0053526678680104155,0.048129906577297356,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,0.0701962467307111,0.0023079666614481903,0.0701962467307111,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,4.211646272935824e-17,9.01788595297353e-34,4.211646272935825e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,-3.487516988161706e-17,3.254242479130923e-33,5.0704521599905426e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,-3.4839029809200874e-17,5.209853655876422e-33,5.652307325891097e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,-4.704948716132589e-17,6.998941021436558e-34,4.70494871613259e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,0.22671892106648894,0.17205608258076482,0.24370080269982453,0.0
