benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,hilbert_dim,n_params,n_entangling_gates,objective_value,mean_abs_grad,spatial_grad_variance,log10_spatial_grad_variance,grad_norm,normalized_grad_norm,max_abs_grad,min_abs_grad,near_zero_ratio,target_grad
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,11,2,4096,72,22,-3.229247901727491e-05,0.00014411145275399246,9.792850149218485e-08,-7.009090891043333,0.0026564810117934417,0.0003130692895887406,0.0014118588876817402,4.464320819994475e-19,0.3472222222222222,-2.068055602224333e-05
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,12,0,4096,144,44,0.07472506636037175,0.010536534763548037,0.00028388802092028904,-3.5468529327928384,0.20407802836509872,0.017006502363758228,0.06784234349602565,1.2955500278914584e-18,0.08333333333333333,-0.029642870721384947
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,13,1,4096,144,44,0.016299684513459853,0.0072786204206364,0.00018057517645854232,-3.7433419520737417,0.16141668152575947,0.013451390127146622,0.05098065233870899,9.40019178026333e-19,0.08333333333333333,0.024162259799192138
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,14,2,4096,144,44,0.009593883896308202,0.0047537981274636595,6.85779891422861e-05,-4.163815253505305,0.09938794183106545,0.00828232848592212,0.04694671080109061,1.612630463427806e-19,0.08333333333333333,-0.0023939386341704206
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,4,4,44,44,11,15,0,4096,144,44,-0.03811816408312432,0.009911898004685516,0.00024752045039530795,-3.6063889133892983,0.18889253942722303,0.015741044952268586,0.06745537491006438,1.460498812199702e-19,0.1736111111111111,0.0026329128033040425
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,4,4,44,44,11,16,1,4096,144,44,-0.0020819042216746776,0.004748159740954304,4.908867138457988e-05,-4.30901872219131,0.08407886811122998,0.007006572342602498,0.025532078208734123,1.0842021724855044e-19,0.1736111111111111,0.003563315327065348
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,4,4,44,44,11,17,2,4096,144,44,-0.012628505301777424,0.004169941442110095,4.1975505465943214e-05,-4.377004065416282,0.07777952342382648,0.00648162695198554,0.036384806614109956,2.168404344971009e-19,0.1736111111111111,0.0027020352359039233
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,18,0,4096,288,88,-0.0015369713892768111,0.004380075484047082,4.270504037720429e-05,-4.369520863175921,0.11096754402760907,0.006538825239461596,0.030909423785831384,2.6525884544561574e-19,0.041666666666666664,3.6001672442222805e-05
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,1,4096,288,88,-0.01143677287778924,0.004038198547124743,3.9758697120942964e-05,-4.400567855724826,0.10770350373731183,0.006346489820850322,0.02413984804987687,1.497119980852308e-19,0.041666666666666664,0.004891873039228802
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,2,4096,288,88,-0.01491006992106689,0.0031827805929962294,2.0316673505854023e-05,-4.692147398568994,0.07678904211039701,0.004524837699756757,0.020008453319605164,9.755474584912206e-20,0.041666666666666664,-0.004016810186072489
