benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,18,1,0.005682907316512171,5.1941985393694237e-05,0.04333386592136382,0.016873378087877085,0.00040005206858934874,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,18,2,0.004581122410005313,5.3327688808693995e-05,0.04400458659865714,0.030909423785831384,8.82240614693007e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,18,3,0.004641855240286641,4.180423888585787e-05,0.04024051466546894,0.021119912395322536,0.00027572536077671026,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,18,4,0.005005976246338927,5.510841592776874e-05,0.04523366395775523,0.02508198783210401,4.037565778068088e-06,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,18,5,0.004989748858807975,5.086072091082214e-05,0.04376993253275013,0.018386922610369918,0.00011842155941443987,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,18,6,0.0031469718196475305,2.5390228355907276e-05,0.030318352882935554,0.014674587613512874,0.00010956866642776914,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,18,7,0.0019129441474962084,8.404334962110992e-06,0.01741134509431327,0.008659020938872143,2.6525884544561574e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,0,0.005443909607113226,6.955284525665442e-05,0.05004204442272217,0.02413984804987687,3.1221138467586035e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,1,0.005246102976396088,6.258690222851704e-05,0.04809660224511028,0.020833553289193424,0.0001559511560661549,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,2,0.003933647508317989,2.3872212126507638e-05,0.029328208215688437,0.014083405852434762,0.0003745129322047351,0.0
