episode,return,return_ma100
275,-0.04030814609396893,-0.4970466060112814
276,-0.4499299412924782,-0.4978513606625565
277,-0.1800278210540721,-0.5001547992189405
278,-0.6864059204007859,-0.4981906334626979
279,-0.04030814609396893,-0.49031989089554967
280,-0.4600941585498193,-0.49250310389588337
281,-0.10682732183910382,-0.49336162767003366
282,0.08440297112651679,-0.48975125365927796
283,-0.12678890501133014,-0.48867583185153235
284,-0.07785503569003387,-0.48129546390442257
285,-1.4035289426321296,-0.4975128193312531
286,-0.14845000383380347,-0.49561551348427524
287,-1.5607010410916349,-0.505306890375195
288,-1.33369479810653,-0.5155429515421251
289,-0.07785503569003387,-0.5167292028294086
290,-0.7280912789503409,-0.5212816116581078
291,-0.8768446725921899,-0.5257356194817674
292,-0.09376493826673109,-0.5184312646415002
293,-0.08740097723605215,-0.5121866567686257
294,-1.1906834340580614,-0.5197416487897353
295,-0.09694691878207055,-0.5164229152683918
296,-1.5935397106157376,-0.5297972064688663
297,-0.3662724956496386,-0.525247603032144
298,-0.7728312293125115,-0.5195304175647599
299,0.07485139773470162,-0.506438592729554
300,-0.09694691878207055,-0.500742598437149
301,-0.08740097723605215,-0.496983846818858
302,-0.7632581226354642,-0.505119588391056
303,-0.42302946683562637,-0.5064321774051759
304,0.23801091907972316,-0.48775389981866196
305,-0.5411878993886422,-0.48747298074748147
306,-0.09694691878207055,-0.48414518648452565
307,-0.07467305517469446,-0.4700100563795938
308,-0.5473934907096448,-0.4744157180682992
309,-0.09058295775139162,-0.45617158017365333
310,-0.04030814609396893,-0.4548688695964681
311,-0.04030814609396893,-0.45574329159809773
312,0.2155308840421641,-0.4528384689491521
313,-0.09694691878207055,-0.4495197354278085
314,-0.08103701620537328,-0.4399903710398236
315,-1.1097232502712984,-0.45011813435471587
316,-0.04030814609396893,-0.44724691041286596
317,-0.07467305517469446,-0.4440565330574192
318,-0.43655136124869753,-0.44767253286138214
319,-0.14913331562293253,-0.4474580739794865
320,-0.6606132311231795,-0.4478944825748226
321,-1.2470493753974714,-0.44723643374150757
322,-0.09376493826673109,-0.4374245693156508
323,-0.0749513808524078,-0.43874180637304533
324,-0.07745974604541406,-0.43750275547071543
325,-0.09694691878207055,-0.4306119973192829
326,-0.0619451331133367,-0.4298444160221582
327,-0.09694691878207055,-0.4225718809870445
328,-0.08421899672071269,-0.4201776058901484
329,-0.8847952285571399,-0.42561193248525064
330,-0.7200641309240724,-0.4176179742614787
331,-0.33774583435793315,-0.41313520526580466
332,-0.04030814609396893,-0.41230890073668747
333,0.3390552700080739,-0.4110201425568532
334,-0.09694691878207055,-0.41053186886642334
335,-0.7130976235472617,-0.4182296450580462
336,0.06940791767637444,-0.3851993655321464
337,-0.07785503569003387,-0.38529482494760664
338,-0.04030814609396893,-0.365258432375539
339,-0.09376493826673109,-0.36845841923897815
340,-0.7561536374496417,-0.3739954041654827
341,0.41178302964021324,-0.3691682450937144
342,-0.24854252283100275,-0.3601577746498033
343,-0.08740097723605215,-0.35542898659735706
344,-0.08421899672071269,-0.3454509410034894
345,0.20482802000713993,-0.33177007535714914
346,-0.06512711362867615,-0.3266649088180622
347,-0.47298070664929937,-0.3334697532447142
348,0.20750373601589597,-0.32488899486945444
349,-0.4552813733099904,-0.3130895429768215
350,0.20750373601589597,-0.30669220460652363
351,-0.09376493826673109,-0.3062346740152073
352,-0.06845974604541416,-0.30623618053422136
353,-0.910442957202938,-0.31437114091843
354,-0.874980667268093,-0.32043028396899315
355,-0.09376493826673109,-0.318282829642303
356,-0.0683090941440156,-0.31821919003199617
357,-0.8459896089271273,-0.32133084673768786
358,-0.6483221015100793,-0.32703551739588826
359,-0.4981876646301554,-0.331111564464676
360,0.3182722961589747,-0.3268605682846951
361,-0.7108476235472618,-0.319938119709634
362,-0.04030814609396893,-0.3130335312209827
363,-0.11126399137429965,-0.31307789791633467
364,-1.0267906200483652,-0.3224399745393044
365,-0.8781665197518154,-0.3302521705490018
366,-0.07149107465935504,-0.3262881805369031
367,-0.842637319937165,-0.330394531221957
368,-0.09694691878207055,-0.3303945312219571
369,-0.8505310828113546,-0.33518396615095947
370,-1.065084650873324,-0.3422498036152371
371,0.16619955254645344,-0.32805254552124746
372,-0.38522972932650995,-0.32724026161870756
373,-0.09376493826673109,-0.3271059359002237
374,0.445685530420145,-0.32250297076208845
375,-0.7575058510949313,-0.329674947812098
376,-0.1825939179939473,-0.3270015875791127
377,-0.9149673675914627,-0.3343509830444866
378,-4.419276088985769,-0.37167968473033647
379,-0.46396704575988296,-0.37591627372699554
380,-1.1314939747158839,-0.3826302718886562
381,-1.3784667947523146,-0.39534666661778833
382,-0.47680756290472215,-0.40095877195810076
383,-0.5428492048742082,-0.4051193749567295
384,-5.454409282525229,-0.4588849174250814
385,-0.730766994959097,-0.45215729794835113
386,-1.1935078278053697,-0.4626078761880668
387,-1.9074473635980436,-0.46607533941313095
388,-2.1392404167022323,-0.4741307955990879
389,-0.983557620816441,-0.48318782145035194
390,0.443936020782032,-0.47146754845302824
391,-1.4203753531240648,-0.47690285525834697
392,-1.3366022780538072,-0.48933122865621775
393,-0.08181740347508909,-0.4892753929186081
394,-1.2948995212671037,-0.4903175537906986
395,-0.9747014808973546,-0.49909509941185143
396,-0.1512068310333102,-0.4846717706160271
397,-0.6955985879462409,-0.4879650315389932
398,-0.6950976235472619,-0.4871876954813407
399,-0.298082967759279,-0.49091703913628043
400,-0.09058295775139162,-0.49085339952597373
401,-0.09694691878207055,-0.4909488589414338
402,-0.3459490440355613,-0.48677576815543483
403,-0.40540643904980755,-0.48659953787757665
404,-0.6578456882976594,-0.49555810395135047
405,-0.6717643168388642,-0.4968638681258527
406,-0.970428222615926,-0.5055986811641913
407,-1.7822208623507083,-0.5226741592359514
408,-0.5875055799324003,-0.5230752801281789
409,-0.4549336956574186,-0.5267187875072392
410,-0.1561635791781201,-0.5278773418380807
411,0.06249852786344268,-0.5268492750985067
412,0.22355803206843225,-0.5267690036182439
413,-0.25061706472045836,-0.5283057050776278
414,-0.7584270991616731,-0.5350796059071908
415,0.608904498211996,-0.5178933284223579
416,-0.8061098122594504,-0.5255513450840127
417,-0.4053041891116187,-0.5288576564233819
418,-0.09058295775139162,-0.5253979723884088
419,-1.4087485676232183,-0.5379941249084118
420,-0.37676393231293437,-0.5351556319203092
421,-0.2819820290197288,-0.5255049584565319
422,0.20482802000713993,-0.5225190288737932
423,-0.7071700990779388,-0.5288412160560484
424,-0.40234214011152836,-0.5320900399967096
425,-0.6284202710293665,-0.5374047735191825
426,-0.47829994459469405,-0.5415683216339962
427,-0.6140769907924646,-0.5467396223541
428,-0.646072101510079,-0.5523581534019937
429,-0.24836706472045827,-0.5459938717636268
430,-0.8154722957580197,-0.5469479534119663
431,-0.49126935830874696,-0.5484831886514745
432,-0.3003934554452701,-0.5510840417449875
433,-4.672874925783864,-0.6012033437029068
434,0.8927460394783933,-0.5913064141203023
435,-0.878431267526461,-0.5929597505600942
436,-6.093176954954658,-0.6545855992864046
437,-0.819858184090493,-0.6620056307704091
438,-1.33014647597187,-0.6749040140691882
439,-2.5367385623176664,-0.6993337503096976
440,-0.4263723968945601,-0.6960359379041468
441,-0.7299364325370419,-0.7074531325259191
442,-3.3190361986459815,-0.738158069284069
443,-0.6722227360362142,-0.7440062868720707
444,-0.3282765328315356,-0.7464468622331788
445,-0.703606119144482,-0.7555312036246952
446,-0.2204218593096546,-0.757084151081505
447,-0.593719417580832,-0.7582915381908202
448,-1.2284082650364307,-0.7726506582013435
449,-0.9527403255092025,-0.7776252477233356
450,-0.9547670324377451,-0.789247955407872
451,-0.7985469370957636,-0.7962957753961624
452,-0.09058295775139162,-0.7965170075132221
453,-0.14163322306290632,-0.7888289101718219
454,-0.5980716404480718,-0.7860598199036217
455,-0.814505719524351,-0.7932672277161978
456,-4.870679089155069,-0.8412909276663083
457,-0.5980716404480718,-0.8388117479815178
458,-1.2938379691063389,-0.8452669066574804
459,-1.6048681983218076,-0.8563337119943969
460,0.40639153278405216,-0.8554525196281462
461,-0.011477114157929513,-0.8484588145342528
462,-1.0100692169642778,-0.8581564252429559
463,-1.1993344467917089,-0.8690371297971301
464,-1.5361059273878286,-0.8741302828705245
465,-0.9927399087920945,-0.8752760167609275
466,-0.41949988296305907,-0.8787561048439645
467,-0.3087662068461503,-0.8734173937130544
468,-0.1486217366752014,-0.8739341418919857
469,-0.6530105066896806,-0.8719589361307689
470,0.16302514860184522,-0.8596778381360172
471,-1.0728680799099366,-0.8720685144605811
472,-0.9226279162422282,-0.8774424963297381
473,-0.6106751041380564,-0.8826115979884516
474,-0.6884561677550658,-0.8939530149702037
475,-7.910447348300924,-0.9654824299422635
476,-0.4558611164544617,-0.9682151019268685
477,-0.6853350733138427,-0.9659187789840925
478,-0.07822387614485038,-0.9225082568556833
479,-0.38062101868689874,-0.9216747965849534
480,-1.0229671699883855,-0.9205895285376785
481,0.1471262589155207,-0.9053335980010001
482,-1.3799511158493285,-0.9143650335304462
483,-1.546891957605574,-0.9244054610577599
484,-3.1143481924726677,-0.9010048501572342
485,-0.1756355522985394,-0.8954535357306287
486,-1.0608628934344553,-0.8941270863869194
487,0.2744753865085152,-0.8723078588858538
488,-0.5278448130710209,-0.8561939028495418
489,-0.745188884372531,-0.8538102154851026
490,-0.9810922120920397,-0.8680604978138434
491,-0.5004767292705566,-0.8588615115753083
492,-0.09694691878207055,-0.8464649579825911
493,-0.32199343115576406,-0.8488667182593977
494,-2.5111469860936926,-0.8610291929076637
495,-0.9038244593597038,-0.8603204226922871
496,-1.3961049080305357,-0.8727694034622593
497,0.024661569911434533,-0.8655668018836826
498,-0.11684349613691375,-0.8597842606095791
499,-0.6502005287597847,-0.8633054362195841
500,-0.9504979540758525,-0.8719045861828287
501,-0.38944104068064544,-0.8748295274018146
502,-5.464049504298632,-0.9260105320044453
503,-0.7637875113838004,-0.9295943427277851
504,-0.6965360245739581,-0.9299812460905481
505,-0.8906489083303955,-0.9321700920054634
506,-0.41711352970818083,-0.926636945076386
507,-0.4650769293539213,-0.9134655057464183
508,-0.46527102396106995,-0.9122431601867049
509,-1.5243302816806674,-0.9229371260469373
510,-0.18744050803216006,-0.9232498953354777
511,-0.328051651076517,-0.9271553971248773
512,-1.006881818927051,-0.9394597956348322
513,-0.3995583199691439,-0.9409492081873191
514,-0.9596244575982191,-0.9429611817716845
515,-3.254940588878206,-0.9815996326425865
516,-0.9533600555778274,-0.9830721350757703
517,-0.44218831291414684,-0.9834409763137956
518,-1.051699253101857,-0.9930521392673002
519,-3.5238694498869196,-1.014203348089937
520,-0.38637697014591377,-1.014299478468267
521,-1.1891963557555354,-1.0233716217356252
522,-0.5795992485213746,-1.0312158944209104
523,-1.0418917821944595,-1.0345631112520755
524,-0.6376021465480242,-1.0369157113164404
525,-7.366005454171739,-1.104291563147864
526,-0.9815919402998237,-1.1093244831049154
527,-2.880274849276509,-1.131986461689756
528,-0.9012268416957493,-1.1345380090916126
529,-0.5896233142447385,-1.1379505715868554
530,-0.506755976164713,-1.1348634083909221
531,-0.8847952285571399,-1.1387986670934063
532,-0.24426546425815832,-1.138237387181535
533,-0.8911650920875206,-1.1004202888445718
534,-2.274820344847825,-1.1320959526878338
535,-1.8734949144342437,-1.1420465891569116
536,-0.5247688134933935,-1.0863625077422991
537,-1.2700140086907914,-1.090864065988302
538,-1.3435095302836935,-1.09099769653142
539,-3.9002310028439906,-1.1046326209366835
540,-0.48642569054575757,-1.1052331538731954
541,-1.2817563789515558,-1.1107513533373408
542,-1.0128589903626337,-1.087689581254507
543,-0.953262571986017,-1.0904999796140051
544,-0.81234570575677,-1.0953406713432576
545,-1.1055271303468397,-1.099359881455281
546,-0.49297861941606835,-1.1020854490563452
547,-0.683530023999084,-1.1029835551205278
548,-0.24403881201060126,-1.0931398605902694
549,-0.29468601646994175,-1.0865593174998769
550,-0.579499464492514,-1.0828066418204245
551,-0.7002524787269132,-1.081823697236736
552,-0.3647388101127338,-1.0845652557603496
553,-2.86317745289493,-1.1117806980586697
554,-0.04077529339435568,-1.1062077345881325
555,-0.4584633538253301,-1.1026473109311423
556,-0.558579346277703,-1.0595263135023685
557,-1.3927567454071654,-1.0674731645519595
558,0.012753326940970255,-1.0544072515914866
559,0.14453216273698935,-1.0369132479808985
560,-0.608753234039616,-1.0470646956491352
561,-0.0867649450244497,-1.0478175739578004
562,-1.017049328322025,-1.0478873750713777
563,-0.6414063049364717,-1.0423080936528255
564,-1.7491505347568084,-1.0444385397265155
565,-1.0566558830341797,-1.0450776994689361
566,-0.29733339847418633,-1.0438560346240475
567,-0.08445883089413181,-1.0416129608645273
568,-1.2235851567337734,-1.052362595065113
569,-0.7042018865393607,-1.0528745088636098
570,-0.5855377760112646,-1.0603601381097407
571,-0.7191826330215026,-1.0568232836408564
572,-0.22237809814629617,-1.0498207854598973
573,-3.487107188279547,-1.078585106301312
574,-3.128818508256368,-1.1029887297063252
575,-2.7835505140490286,-1.0517197613638063
576,-4.480087187467575,-1.0919620220739374
577,-0.361921667956229,-1.088727888020361
578,-0.9414049307366545,-1.0973596985662792
579,-3.6488218630868055,-1.1300417070102784
580,-0.7796069601555481,-1.12760810491195
581,-2.6794002941566584,-1.1558733704426718
582,-0.6896506820112348,-1.148970366104291
583,-0.880858686634133,-1.1423100333945764
584,-0.41795113868529155,-1.1153460628567027
585,-0.2571210424759523,-1.1161609177584766
586,-1.6675261658543687,-1.122227550482676
587,-0.9786950417132391,-1.1347592547648935
588,0.20482802000713993,-1.1274325264341118
589,0.20750373601589597,-1.1179056002302277
590,-0.6965360245739581,-1.1150600383550466
591,-0.8092585842826174,-1.1181478569051675
592,-0.4691204703731038,-1.1218695924210775
593,-0.42037176922827246,-1.1228533758018027
594,-0.31924073888803706,-1.1009343133297462
595,0.20141151239527422,-1.0898819536121964
596,-0.027575840757574355,-1.0761966629394668
597,-1.6573356439681075,-1.0930166350782622
598,0.06072632790597865,-1.0912409368378333
599,-0.9733188611635745,-1.0944721201618712
600,-0.4820328385298864,-1.0897874690064115
601,-1.3406724539901784,-1.0992997831395068
602,0.4061490005178148,-1.0405977980913423
603,-0.48526235125223177,-1.0378125464900267
604,-0.8126942716653636,-1.0389741289609409
605,0.06895165223298033,-1.029378123355307
606,-1.6241971703012967,-1.0414489597612382
607,-3.6207811185928382,-1.0730060016536271
608,0.13795918969701174,-1.0669736995170465
609,-0.16596733495046462,-1.0533900700497445
610,0.43821469676806124,-1.0471335180017423
611,-0.7454821715076934,-1.051307823206054
612,-2.1582115169596934,-1.0628211201863804
613,-0.03240429840293374,-1.0591495799707185
614,-0.5954912859631494,-1.0555082482543676
615,-0.6309660415771372,-1.029268502781357
616,-0.5620324770545247,-1.025355226996124
617,-1.3477386070986008,-1.0344107299379686
618,-5.803454320483256,-1.0819282806117825
619,-1.032863303020427,-1.0570182191431177
620,-0.16396204894719593,-1.0547940699311302
621,-0.7143093707213004,-1.050045200080788
622,-1.7383384268513489,-1.0616325918640876
623,-0.47847319252735493,-1.0559984059674168
624,-2.5099833309290402,-1.0747222178112268
625,-2.4763139004715375,-1.0258253022742247
626,-0.2828630817830251,-1.018838013689057
627,-0.32032555718472305,-0.9932385207681389
628,-0.6768650722571359,-0.9909949030737529
629,-1.7281689078028233,-1.0023803590093339
630,0.024661569911434533,-0.9970661835485722
631,-1.1294390089995063,-0.999512621352996
632,-1.4591025976595766,-1.0116609926870102
633,-3.637696047728034,-1.0391263022434152
634,-0.9622806542404105,-1.0260009053373411
